Time: 0.99 min, Glucose Level: 101.109 mg/dL
Time: 498.99 min, Glucose Level: 163.15 mg/dL
Time: 499.99 min, Glucose Level: 163.049 mg/dL
Time: 500.99 min, Glucose Level: 162.947 mg/dL
Time: 501.99 min, Glucose Level: 162.847 mg/dL
Time: 502.99 min, Glucose Level: 162.747 mg/dL
Time: 503.99 min, Glucose Level: 162.648 mg/dL
Time: 504.99 min, Glucose Level: 162.549 mg/dL
Time: 505.99 min, Glucose Level: 162.451 mg/dL
Time: 506.99 min, Glucose Level: 162.354 mg/dL
Time: 507.99 min, Glucose Level: 162.257 mg/dL
Time: 508.99 min, Glucose Level: 162.161 mg/dL
Time: 509.99 min, Glucose Level: 162.066 mg/dL
Time: 510.99 min, Glucose Level: 161.971 mg/dL
Time: 511.99 min, Glucose Level: 161.877 mg/dL
Time: 512.99 min, Glucose Level: 161.783 mg/dL
Time: 513.99 min, Glucose Level: 161.69 mg/dL
Time: 514.99 min, Glucose Level: 161.598 mg/dL
Time: 515.99 min, Glucose Level: 161.506 mg/dL
Time: 516.99 min, Glucose Level: 161.415 mg/dL
Time: 517.99 min, Glucose Level: 161.324 mg/dL
Time: 518.99 min, Glucose Level: 161.234 mg/dL
Time: 519.99 min, Glucose Level: 161.145 mg/dL
Time: 520.99 min, Glucose Level: 161.056 mg/dL
Time: 521.99 min, Glucose Level: 160.968 mg/dL
Time: 522.99 min, Glucose Level: 160.88 mg/dL
Time: 523.99 min, Glucose Level: 160.793 mg/dL
Time: 524.99 min, Glucose Level: 160.707 mg/dL
Time: 525.99 min, Glucose Level: 160.621 mg/dL
Time: 526.99 min, Glucose Level: 160.535 mg/dL
Time: 527.99 min, Glucose Level: 160.451 mg/dL
Time: 528.99 min, Glucose Level: 160.366 mg/dL
Time: 529.99 min, Glucose Level: 160.283 mg/dL
Time: 530.99 min, Glucose Level: 160.2 mg/dL
Time: 531.99 min, Glucose Level: 160.117 mg/dL
Time: 532.99 min, Glucose Level: 160.035 mg/dL
Time: 533.99 min, Glucose Level: 159.954 mg/dL
Time: 534.99 min, Glucose Level: 159.873 mg/dL
Time: 535.99 min, Glucose Level: 159.792 mg/dL
Time: 536.99 min, Glucose Level: 159.712 mg/dL
Time: 537.99 min, Glucose Level: 159.633 mg/dL
Time: 538.99 min, Glucose Level: 159.554 mg/dL
Time: 539.99 min, Glucose Level: 159.476 mg/dL
Time: 540.99 min, Glucose Level: 159.398 mg/dL
Time: 541.99 min, Glucose Level: 159.321 mg/dL
Time: 542.99 min, Glucose Level: 159.244 mg/dL
Time: 543.99 min, Glucose Level: 159.168 mg/dL
Time: 544.99 min, Glucose Level: 159.093 mg/dL
Time: 545.99 min, Glucose Level: 159.017 mg/dL
Time: 546.99 min, Glucose Level: 158.943 mg/dL
Time: 547.99 min, Glucose Level: 158.869 mg/dL
Time: 548.99 min, Glucose Level: 158.795 mg/dL
Time: 549.99 min, Glucose Level: 158.722 mg/dL
Time: 550.99 min, Glucose Level: 158.649 mg/dL
Time: 551.99 min, Glucose Level: 158.577 mg/dL
Time: 552.99 min, Glucose Level: 158.506 mg/dL
Time: 553.99 min, Glucose Level: 158.434 mg/dL
Time: 554.99 min, Glucose Level: 158.364 mg/dL
Time: 555.99 min, Glucose Level: 158.294 mg/dL
Time: 556.99 min, Glucose Level: 158.224 mg/dL
Time: 557.99 min, Glucose Level: 158.155 mg/dL
Time: 558.99 min, Glucose Level: 158.086 mg/dL
Time: 559.99 min, Glucose Level: 158.018 mg/dL
Time: 560.99 min, Glucose Level: 157.95 mg/dL
Time: 561.99 min, Glucose Level: 157.882 mg/dL
Time: 562.99 min, Glucose Level: 157.816 mg/dL
Time: 563.99 min, Glucose Level: 157.749 mg/dL
Time: 564.99 min, Glucose Level: 157.683 mg/dL
Time: 565.99 min, Glucose Level: 157.618 mg/dL
Time: 566.99 min, Glucose Level: 157.553 mg/dL
Time: 567.99 min, Glucose Level: 157.488 mg/dL
Time: 568.99 min, Glucose Level: 157.424 mg/dL
Time: 569.99 min, Glucose Level: 157.36 mg/dL
Time: 570.99 min, Glucose Level: 157.297 mg/dL
Time: 571.99 min, Glucose Level: 157.234 mg/dL
Time: 572.99 min, Glucose Level: 157.172 mg/dL
Time: 573.99 min, Glucose Level: 157.11 mg/dL
Time: 574.99 min, Glucose Level: 157.048 mg/dL
Time: 575.99 min, Glucose Level: 156.987 mg/dL
Time: 576.99 min, Glucose Level: 156.927 mg/dL
Time: 577.99 min, Glucose Level: 156.866 mg/dL
Time: 578.99 min, Glucose Level: 156.807 mg/dL
Time: 579.99 min, Glucose Level: 156.747 mg/dL
Time: 580.99 min, Glucose Level: 156.688 mg/dL
Time: 581.99 min, Glucose Level: 156.63 mg/dL
Time: 582.99 min, Glucose Level: 156.572 mg/dL
Time: 583.99 min, Glucose Level: 156.514 mg/dL
Time: 584.99 min, Glucose Level: 156.457 mg/dL
Time: 585.99 min, Glucose Level: 156.4 mg/dL
Time: 586.99 min, Glucose Level: 156.343 mg/dL
Time: 587.99 min, Glucose Level: 156.287 mg/dL
Time: 588.99 min, Glucose Level: 156.231 mg/dL
Time: 589.99 min, Glucose Level: 156.176 mg/dL
Time: 590.99 min, Glucose Level: 156.121 mg/dL
Time: 591.99 min, Glucose Level: 156.067 mg/dL
Time: 592.99 min, Glucose Level: 156.013 mg/dL
Time: 593.99 min, Glucose Level: 155.959 mg/dL
Time: 594.99 min, Glucose Level: 155.905 mg/dL
Time: 595.99 min, Glucose Level: 155.852 mg/dL
Time: 596.99 min, Glucose Level: 155.8 mg/dL
Time: 597.99 min, Glucose Level: 155.748 mg/dL
Time: 598.99 min, Glucose Level: 155.696 mg/dL
Time: 599.99 min, Glucose Level: 155.644 mg/dL
Time: 600.99 min, Glucose Level: 155.593 mg/dL
Time: 601.99 min, Glucose Level: 155.542 mg/dL
Time: 602.99 min, Glucose Level: 155.492 mg/dL
Time: 603.99 min, Glucose Level: 155.442 mg/dL
Time: 604.99 min, Glucose Level: 155.392 mg/dL
Time: 605.99 min, Glucose Level: 155.343 mg/dL
Time: 606.99 min, Glucose Level: 155.294 mg/dL
Time: 607.99 min, Glucose Level: 155.246 mg/dL
Time: 608.99 min, Glucose Level: 155.197 mg/dL
Time: 609.99 min, Glucose Level: 155.15 mg/dL
Time: 610.99 min, Glucose Level: 155.102 mg/dL
Time: 611.99 min, Glucose Level: 155.055 mg/dL
Time: 612.99 min, Glucose Level: 155.008 mg/dL
Time: 613.99 min, Glucose Level: 154.962 mg/dL
Time: 614.99 min, Glucose Level: 154.915 mg/dL
Time: 615.99 min, Glucose Level: 154.87 mg/dL
Time: 616.99 min, Glucose Level: 154.824 mg/dL
Time: 617.99 min, Glucose Level: 154.779 mg/dL
Time: 618.99 min, Glucose Level: 154.734 mg/dL
Time: 619.99 min, Glucose Level: 154.69 mg/dL
Time: 620.99 min, Glucose Level: 154.645 mg/dL
Time: 621.99 min, Glucose Level: 154.602 mg/dL
Time: 622.99 min, Glucose Level: 154.558 mg/dL
Time: 623.99 min, Glucose Level: 154.515 mg/dL
Time: 624.99 min, Glucose Level: 154.472 mg/dL
Time: 625.99 min, Glucose Level: 154.429 mg/dL
Time: 626.99 min, Glucose Level: 154.387 mg/dL
Time: 627.99 min, Glucose Level: 154.345 mg/dL
Time: 628.99 min, Glucose Level: 154.304 mg/dL
Time: 629.99 min, Glucose Level: 154.262 mg/dL
Time: 630.99 min, Glucose Level: 154.221 mg/dL
Time: 631.99 min, Glucose Level: 154.18 mg/dL
Time: 632.99 min, Glucose Level: 154.14 mg/dL
Time: 633.99 min, Glucose Level: 154.099 mg/dL
Time: 634.99 min, Glucose Level: 154.059 mg/dL
Time: 635.99 min, Glucose Level: 154.019 mg/dL
Time: 636.99 min, Glucose Level: 153.98 mg/dL
Time: 637.99 min, Glucose Level: 153.941 mg/dL
Time: 638.99 min, Glucose Level: 153.902 mg/dL
Time: 639.99 min, Glucose Level: 153.864 mg/dL
Time: 640.99 min, Glucose Level: 153.825 mg/dL
Time: 641.99 min, Glucose Level: 153.787 mg/dL
Time: 642.99 min, Glucose Level: 153.75 mg/dL
Time: 643.99 min, Glucose Level: 153.712 mg/dL
Time: 644.99 min, Glucose Level: 153.675 mg/dL
Time: 645.99 min, Glucose Level: 153.638 mg/dL
Time: 646.99 min, Glucose Level: 153.602 mg/dL
Time: 647.99 min, Glucose Level: 153.566 mg/dL
Time: 648.99 min, Glucose Level: 153.53 mg/dL
Time: 649.99 min, Glucose Level: 153.494 mg/dL
Time: 650.99 min, Glucose Level: 153.459 mg/dL
Time: 651.99 min, Glucose Level: 153.423 mg/dL
Time: 652.99 min, Glucose Level: 153.388 mg/dL
Time: 653.99 min, Glucose Level: 153.354 mg/dL
Time: 654.99 min, Glucose Level: 153.319 mg/dL
Time: 655.99 min, Glucose Level: 153.285 mg/dL
Time: 656.99 min, Glucose Level: 153.251 mg/dL
Time: 657.99 min, Glucose Level: 153.218 mg/dL
Time: 658.99 min, Glucose Level: 153.185 mg/dL
Time: 659.99 min, Glucose Level: 153.151 mg/dL
Time: 660.99 min, Glucose Level: 153.119 mg/dL
Time: 661.99 min, Glucose Level: 153.086 mg/dL
Time: 662.99 min, Glucose Level: 153.054 mg/dL
Time: 663.99 min, Glucose Level: 153.022 mg/dL
Time: 664.99 min, Glucose Level: 152.99 mg/dL
Time: 665.99 min, Glucose Level: 152.958 mg/dL
Time: 666.99 min, Glucose Level: 152.927 mg/dL
Time: 667.99 min, Glucose Level: 152.896 mg/dL
Time: 668.99 min, Glucose Level: 152.865 mg/dL
Time: 669.99 min, Glucose Level: 152.834 mg/dL
Time: 670.99 min, Glucose Level: 152.804 mg/dL
Time: 671.99 min, Glucose Level: 152.774 mg/dL
Time: 672.99 min, Glucose Level: 152.744 mg/dL
Time: 673.99 min, Glucose Level: 152.714 mg/dL
Time: 674.99 min, Glucose Level: 152.684 mg/dL
Time: 675.99 min, Glucose Level: 152.655 mg/dL
Time: 676.99 min, Glucose Level: 152.626 mg/dL
Time: 677.99 min, Glucose Level: 152.597 mg/dL
Time: 678.99 min, Glucose Level: 152.569 mg/dL
Time: 679.99 min, Glucose Level: 152.54 mg/dL
Time: 680.99 min, Glucose Level: 152.512 mg/dL
Time: 681.99 min, Glucose Level: 152.484 mg/dL
Time: 682.99 min, Glucose Level: 152.457 mg/dL
Time: 683.99 min, Glucose Level: 152.429 mg/dL
Time: 684.99 min, Glucose Level: 152.402 mg/dL
Time: 685.99 min, Glucose Level: 152.375 mg/dL
Time: 686.99 min, Glucose Level: 152.348 mg/dL
Time: 687.99 min, Glucose Level: 152.321 mg/dL
Time: 688.99 min, Glucose Level: 152.295 mg/dL
Time: 689.99 min, Glucose Level: 152.268 mg/dL
Time: 690.99 min, Glucose Level: 152.242 mg/dL
Time: 691.99 min, Glucose Level: 152.216 mg/dL
Time: 692.99 min, Glucose Level: 152.191 mg/dL
Time: 693.99 min, Glucose Level: 152.165 mg/dL
Time: 694.99 min, Glucose Level: 152.14 mg/dL
Time: 695.99 min, Glucose Level: 152.115 mg/dL
Time: 696.99 min, Glucose Level: 152.09 mg/dL
Time: 697.99 min, Glucose Level: 152.066 mg/dL
Time: 698.99 min, Glucose Level: 152.041 mg/dL
Time: 699.99 min, Glucose Level: 152.017 mg/dL
Time: 700.99 min, Glucose Level: 151.993 mg/dL
Time: 701.99 min, Glucose Level: 151.969 mg/dL
Time: 702.99 min, Glucose Level: 151.945 mg/dL
Time: 703.99 min, Glucose Level: 151.921 mg/dL
Time: 704.99 min, Glucose Level: 151.898 mg/dL
Time: 705.99 min, Glucose Level: 151.875 mg/dL
Time: 706.99 min, Glucose Level: 151.852 mg/dL
Time: 707.99 min, Glucose Level: 151.829 mg/dL
Time: 708.99 min, Glucose Level: 151.806 mg/dL
Time: 709.99 min, Glucose Level: 151.784 mg/dL
Time: 710.99 min, Glucose Level: 151.762 mg/dL
Time: 711.99 min, Glucose Level: 151.74 mg/dL
Time: 712.99 min, Glucose Level: 151.718 mg/dL
Time: 713.99 min, Glucose Level: 151.696 mg/dL
Time: 714.99 min, Glucose Level: 151.674 mg/dL
Time: 715.99 min, Glucose Level: 151.653 mg/dL
Time: 716.99 min, Glucose Level: 151.632 mg/dL
Time: 717.99 min, Glucose Level: 151.611 mg/dL
Time: 718.99 min, Glucose Level: 151.59 mg/dL
Time: 719.99 min, Glucose Level: 151.569 mg/dL
Time: 720.99 min, Glucose Level: 151.548 mg/dL
Time: 721.99 min, Glucose Level: 151.528 mg/dL
Time: 722.99 min, Glucose Level: 151.507 mg/dL
Time: 723.99 min, Glucose Level: 151.487 mg/dL
Time: 724.99 min, Glucose Level: 151.467 mg/dL
Time: 725.99 min, Glucose Level: 151.448 mg/dL
Time: 726.99 min, Glucose Level: 151.428 mg/dL
Time: 727.99 min, Glucose Level: 151.408 mg/dL
Time: 728.99 min, Glucose Level: 151.389 mg/dL
Time: 729.99 min, Glucose Level: 151.37 mg/dL
Time: 730.99 min, Glucose Level: 151.351 mg/dL
Time: 731.99 min, Glucose Level: 151.332 mg/dL
Time: 732.99 min, Glucose Level: 151.313 mg/dL
Time: 733.99 min, Glucose Level: 151.295 mg/dL
Time: 734.99 min, Glucose Level: 151.276 mg/dL
Time: 735.99 min, Glucose Level: 151.258 mg/dL
Time: 736.99 min, Glucose Level: 151.24 mg/dL
Time: 737.99 min, Glucose Level: 151.222 mg/dL
Time: 738.99 min, Glucose Level: 151.204 mg/dL
Time: 739.99 min, Glucose Level: 151.186 mg/dL
Time: 740.99 min, Glucose Level: 151.168 mg/dL
Time: 741.99 min, Glucose Level: 151.151 mg/dL
Time: 742.99 min, Glucose Level: 151.134 mg/dL
Time: 743.99 min, Glucose Level: 151.117 mg/dL
Time: 744.99 min, Glucose Level: 151.099 mg/dL
Time: 745.99 min, Glucose Level: 151.083 mg/dL
Time: 746.99 min, Glucose Level: 151.066 mg/dL
Time: 747.99 min, Glucose Level: 151.049 mg/dL
Time: 748.99 min, Glucose Level: 151.033 mg/dL
Time: 749.99 min, Glucose Level: 151.016 mg/dL
LUNCH TIME
Time: 750.99 min, Glucose Level: 151 mg/dL
Time: 751.99 min, Glucose Level: 150.984 mg/dL
Time: 752.99 min, Glucose Level: 150.969 mg/dL
Time: 753.99 min, Glucose Level: 150.953 mg/dL
Time: 754.99 min, Glucose Level: 150.938 mg/dL
Time: 755.99 min, Glucose Level: 150.923 mg/dL
Time: 756.99 min, Glucose Level: 150.909 mg/dL
Time: 757.99 min, Glucose Level: 150.894 mg/dL
Time: 758.99 min, Glucose Level: 150.88 mg/dL
Time: 759.99 min, Glucose Level: 150.866 mg/dL
Time: 760.99 min, Glucose Level: 150.852 mg/dL
Time: 761.99 min, Glucose Level: 150.839 mg/dL
Time: 762.99 min, Glucose Level: 150.825 mg/dL
Time: 763.99 min, Glucose Level: 150.812 mg/dL
Time: 764.99 min, Glucose Level: 150.799 mg/dL
Time: 765.99 min, Glucose Level: 150.786 mg/dL
Time: 766.99 min, Glucose Level: 150.773 mg/dL
Time: 767.99 min, Glucose Level: 150.761 mg/dL
Time: 768.99 min, Glucose Level: 150.749 mg/dL
Time: 769.99 min, Glucose Level: 150.736 mg/dL
Time: 770.99 min, Glucose Level: 150.724 mg/dL
Time: 771.99 min, Glucose Level: 150.712 mg/dL
Time: 772.99 min, Glucose Level: 150.7 mg/dL
Time: 773.99 min, Glucose Level: 150.689 mg/dL
Time: 774.99 min, Glucose Level: 150.677 mg/dL
Time: 775.99 min, Glucose Level: 150.666 mg/dL
Time: 776.99 min, Glucose Level: 150.654 mg/dL
Time: 777.99 min, Glucose Level: 150.643 mg/dL
Time: 778.99 min, Glucose Level: 150.632 mg/dL
Time: 779.99 min, Glucose Level: 150.621 mg/dL
Time: 780.99 min, Glucose Level: 150.61 mg/dL
Time: 781.99 min, Glucose Level: 150.6 mg/dL
Time: 782.99 min, Glucose Level: 150.589 mg/dL
Time: 783.99 min, Glucose Level: 150.578 mg/dL
Time: 784.99 min, Glucose Level: 150.568 mg/dL
Time: 785.99 min, Glucose Level: 150.557 mg/dL
Time: 786.99 min, Glucose Level: 150.547 mg/dL
Time: 787.99 min, Glucose Level: 150.537 mg/dL
Time: 788.99 min, Glucose Level: 150.527 mg/dL
Time: 789.99 min, Glucose Level: 150.517 mg/dL
Time: 790.99 min, Glucose Level: 150.507 mg/dL
Time: 791.99 min, Glucose Level: 150.497 mg/dL
Time: 792.99 min, Glucose Level: 150.487 mg/dL
Time: 793.99 min, Glucose Level: 150.477 mg/dL
Time: 794.99 min, Glucose Level: 150.468 mg/dL
Time: 795.99 min, Glucose Level: 150.458 mg/dL
Time: 796.99 min, Glucose Level: 150.449 mg/dL
Time: 797.99 min, Glucose Level: 150.439 mg/dL
Time: 798.99 min, Glucose Level: 150.43 mg/dL
Time: 799.99 min, Glucose Level: 150.42 mg/dL
Time: 800.99 min, Glucose Level: 150.411 mg/dL
Time: 801.99 min, Glucose Level: 150.402 mg/dL
Time: 802.99 min, Glucose Level: 150.393 mg/dL
Time: 803.99 min, Glucose Level: 150.384 mg/dL
Time: 804.99 min, Glucose Level: 150.375 mg/dL
Time: 805.99 min, Glucose Level: 150.366 mg/dL
Time: 806.99 min, Glucose Level: 150.357 mg/dL
Time: 807.99 min, Glucose Level: 150.348 mg/dL
Time: 808.99 min, Glucose Level: 150.339 mg/dL
Time: 809.99 min, Glucose Level: 150.33 mg/dL
Time: 810.99 min, Glucose Level: 150.322 mg/dL
Time: 811.99 min, Glucose Level: 150.313 mg/dL
Time: 812.99 min, Glucose Level: 150.304 mg/dL
Time: 813.99 min, Glucose Level: 150.296 mg/dL
Time: 814.99 min, Glucose Level: 150.287 mg/dL
Time: 815.99 min, Glucose Level: 150.279 mg/dL
Time: 816.99 min, Glucose Level: 150.271 mg/dL
Time: 817.99 min, Glucose Level: 150.262 mg/dL
Time: 818.99 min, Glucose Level: 150.254 mg/dL
Time: 819.99 min, Glucose Level: 150.246 mg/dL
Time: 820.99 min, Glucose Level: 150.237 mg/dL
Time: 821.99 min, Glucose Level: 150.229 mg/dL
Time: 822.99 min, Glucose Level: 150.221 mg/dL
Time: 823.99 min, Glucose Level: 150.213 mg/dL
Time: 824.99 min, Glucose Level: 150.205 mg/dL
Time: 825.99 min, Glucose Level: 150.197 mg/dL
Time: 826.99 min, Glucose Level: 150.189 mg/dL
Time: 827.99 min, Glucose Level: 150.181 mg/dL
Time: 828.99 min, Glucose Level: 150.173 mg/dL
Time: 829.99 min, Glucose Level: 150.165 mg/dL
Time: 830.99 min, Glucose Level: 150.158 mg/dL
Time: 831.99 min, Glucose Level: 150.15 mg/dL
Time: 832.99 min, Glucose Level: 150.142 mg/dL
Time: 833.99 min, Glucose Level: 150.135 mg/dL
Time: 834.99 min, Glucose Level: 150.127 mg/dL
Time: 835.99 min, Glucose Level: 150.119 mg/dL
Time: 836.99 min, Glucose Level: 150.112 mg/dL
Time: 837.99 min, Glucose Level: 150.104 mg/dL
Time: 838.99 min, Glucose Level: 150.097 mg/dL
Time: 839.99 min, Glucose Level: 150.089 mg/dL
Time: 840.99 min, Glucose Level: 150.082 mg/dL
Time: 841.99 min, Glucose Level: 150.075 mg/dL
Time: 842.99 min, Glucose Level: 150.067 mg/dL
Time: 843.99 min, Glucose Level: 150.06 mg/dL
Time: 844.99 min, Glucose Level: 150.053 mg/dL
Time: 845.99 min, Glucose Level: 150.046 mg/dL
Time: 846.99 min, Glucose Level: 150.039 mg/dL
Time: 847.99 min, Glucose Level: 150.031 mg/dL
Time: 848.99 min, Glucose Level: 150.024 mg/dL
Time: 849.99 min, Glucose Level: 150.017 mg/dL
Time: 850.99 min, Glucose Level: 150.01 mg/dL
Time: 851.99 min, Glucose Level: 150.003 mg/dL
Time: 852.99 min, Glucose Level: 149.996 mg/dL
Time: 853.99 min, Glucose Level: 149.99 mg/dL
Time: 854.99 min, Glucose Level: 149.983 mg/dL
Time: 855.99 min, Glucose Level: 149.976 mg/dL
Time: 856.99 min, Glucose Level: 149.969 mg/dL
Time: 857.99 min, Glucose Level: 149.962 mg/dL
Time: 858.99 min, Glucose Level: 149.956 mg/dL
Time: 859.99 min, Glucose Level: 149.949 mg/dL
Time: 860.99 min, Glucose Level: 149.942 mg/dL
Time: 861.99 min, Glucose Level: 149.936 mg/dL
Time: 862.99 min, Glucose Level: 149.929 mg/dL
Time: 863.99 min, Glucose Level: 149.923 mg/dL
Time: 864.99 min, Glucose Level: 149.916 mg/dL
Time: 865.99 min, Glucose Level: 149.91 mg/dL
Time: 866.99 min, Glucose Level: 149.903 mg/dL
Time: 867.99 min, Glucose Level: 149.897 mg/dL
Time: 868.99 min, Glucose Level: 149.89 mg/dL
Time: 869.99 min, Glucose Level: 149.884 mg/dL
Time: 870.99 min, Glucose Level: 149.878 mg/dL
Time: 871.99 min, Glucose Level: 149.872 mg/dL
Time: 872.99 min, Glucose Level: 149.865 mg/dL
Time: 873.99 min, Glucose Level: 149.859 mg/dL
Time: 874.99 min, Glucose Level: 149.853 mg/dL
Time: 875.99 min, Glucose Level: 149.847 mg/dL
Time: 876.99 min, Glucose Level: 149.841 mg/dL
Time: 877.99 min, Glucose Level: 149.835 mg/dL
Time: 878.99 min, Glucose Level: 149.829 mg/dL
Time: 879.99 min, Glucose Level: 149.823 mg/dL
Time: 880.99 min, Glucose Level: 149.817 mg/dL
Time: 881.99 min, Glucose Level: 149.811 mg/dL
Time: 882.99 min, Glucose Level: 149.805 mg/dL
Time: 883.99 min, Glucose Level: 149.8 mg/dL
Time: 884.99 min, Glucose Level: 149.794 mg/dL
Time: 885.99 min, Glucose Level: 149.788 mg/dL
Time: 886.99 min, Glucose Level: 149.782 mg/dL
Time: 887.99 min, Glucose Level: 149.777 mg/dL
Time: 888.99 min, Glucose Level: 149.771 mg/dL
Time: 889.99 min, Glucose Level: 149.765 mg/dL
Time: 890.99 min, Glucose Level: 149.76 mg/dL
Time: 891.99 min, Glucose Level: 149.754 mg/dL
Time: 892.99 min, Glucose Level: 149.749 mg/dL
Time: 893.99 min, Glucose Level: 149.743 mg/dL
Time: 894.99 min, Glucose Level: 149.738 mg/dL
Time: 895.99 min, Glucose Level: 149.732 mg/dL
Time: 896.99 min, Glucose Level: 149.727 mg/dL
Time: 897.99 min, Glucose Level: 149.722 mg/dL
Time: 898.99 min, Glucose Level: 149.716 mg/dL
Time: 899.99 min, Glucose Level: 149.711 mg/dL
Time: 900.99 min, Glucose Level: 149.706 mg/dL
Time: 901.99 min, Glucose Level: 149.701 mg/dL
Time: 902.99 min, Glucose Level: 149.695 mg/dL
Time: 903.99 min, Glucose Level: 149.69 mg/dL
Time: 904.99 min, Glucose Level: 149.685 mg/dL
Time: 905.99 min, Glucose Level: 149.68 mg/dL
Time: 906.99 min, Glucose Level: 149.675 mg/dL
Time: 907.99 min, Glucose Level: 149.67 mg/dL
Time: 908.99 min, Glucose Level: 149.665 mg/dL
Time: 909.99 min, Glucose Level: 149.66 mg/dL
Time: 910.99 min, Glucose Level: 149.655 mg/dL
Time: 911.99 min, Glucose Level: 149.65 mg/dL
Time: 912.99 min, Glucose Level: 149.645 mg/dL
Time: 913.99 min, Glucose Level: 149.641 mg/dL
Time: 914.99 min, Glucose Level: 149.636 mg/dL
Time: 915.99 min, Glucose Level: 149.631 mg/dL
Time: 916.99 min, Glucose Level: 149.626 mg/dL
Time: 917.99 min, Glucose Level: 149.622 mg/dL
Time: 918.99 min, Glucose Level: 149.617 mg/dL
Time: 919.99 min, Glucose Level: 149.612 mg/dL
Time: 920.99 min, Glucose Level: 149.608 mg/dL
Time: 921.99 min, Glucose Level: 149.603 mg/dL
Time: 922.99 min, Glucose Level: 149.599 mg/dL
Time: 923.99 min, Glucose Level: 149.594 mg/dL
Time: 924.99 min, Glucose Level: 149.59 mg/dL
Time: 925.99 min, Glucose Level: 149.585 mg/dL
Time: 926.99 min, Glucose Level: 149.581 mg/dL
Time: 927.99 min, Glucose Level: 149.576 mg/dL
Time: 928.99 min, Glucose Level: 149.572 mg/dL
Time: 929.99 min, Glucose Level: 149.568 mg/dL
Time: 930.99 min, Glucose Level: 149.563 mg/dL
Time: 931.99 min, Glucose Level: 149.558 mg/dL
Time: 932.99 min, Glucose Level: 149.554 mg/dL
Time: 933.99 min, Glucose Level: 149.549 mg/dL
Time: 934.99 min, Glucose Level: 149.545 mg/dL
Time: 935.99 min, Glucose Level: 149.54 mg/dL
Time: 936.99 min, Glucose Level: 149.536 mg/dL
Time: 937.99 min, Glucose Level: 149.532 mg/dL
Time: 938.99 min, Glucose Level: 149.527 mg/dL
Time: 939.99 min, Glucose Level: 149.523 mg/dL
Time: 940.99 min, Glucose Level: 149.519 mg/dL
Time: 941.99 min, Glucose Level: 149.515 mg/dL
Time: 942.99 min, Glucose Level: 149.51 mg/dL
Time: 943.99 min, Glucose Level: 149.506 mg/dL
Time: 944.99 min, Glucose Level: 149.502 mg/dL
Time: 945.99 min, Glucose Level: 149.498 mg/dL
Time: 946.99 min, Glucose Level: 149.494 mg/dL
Time: 947.99 min, Glucose Level: 149.49 mg/dL
Time: 948.99 min, Glucose Level: 149.486 mg/dL
Time: 949.99 min, Glucose Level: 149.482 mg/dL
Time: 950.99 min, Glucose Level: 149.478 mg/dL
Time: 951.99 min, Glucose Level: 149.474 mg/dL
Time: 952.99 min, Glucose Level: 149.47 mg/dL
Time: 953.99 min, Glucose Level: 149.467 mg/dL
Time: 954.99 min, Glucose Level: 149.463 mg/dL
Time: 955.99 min, Glucose Level: 149.459 mg/dL
Time: 956.99 min, Glucose Level: 149.455 mg/dL
Time: 957.99 min, Glucose Level: 149.452 mg/dL
Time: 958.99 min, Glucose Level: 149.448 mg/dL
Time: 959.99 min, Glucose Level: 149.444 mg/dL
Time: 960.99 min, Glucose Level: 149.441 mg/dL
Time: 961.99 min, Glucose Level: 149.437 mg/dL
Time: 962.99 min, Glucose Level: 149.434 mg/dL
Time: 963.99 min, Glucose Level: 149.43 mg/dL
Time: 964.99 min, Glucose Level: 149.427 mg/dL
Time: 965.99 min, Glucose Level: 149.423 mg/dL
Time: 966.99 min, Glucose Level: 149.42 mg/dL
Time: 967.99 min, Glucose Level: 149.417 mg/dL
Time: 968.99 min, Glucose Level: 149.413 mg/dL
Time: 969.99 min, Glucose Level: 149.41 mg/dL
Time: 970.99 min, Glucose Level: 149.407 mg/dL
Time: 971.99 min, Glucose Level: 149.403 mg/dL
Time: 972.99 min, Glucose Level: 149.4 mg/dL
Time: 973.99 min, Glucose Level: 149.397 mg/dL
Time: 974.99 min, Glucose Level: 149.394 mg/dL
Time: 975.99 min, Glucose Level: 149.39 mg/dL
Time: 976.99 min, Glucose Level: 149.387 mg/dL
Time: 977.99 min, Glucose Level: 149.384 mg/dL
Time: 978.99 min, Glucose Level: 149.381 mg/dL
Time: 979.99 min, Glucose Level: 149.378 mg/dL
Time: 980.99 min, Glucose Level: 149.375 mg/dL
Time: 981.99 min, Glucose Level: 149.372 mg/dL
Time: 982.99 min, Glucose Level: 149.369 mg/dL
Time: 983.99 min, Glucose Level: 149.366 mg/dL
Time: 984.99 min, Glucose Level: 149.363 mg/dL
Time: 985.99 min, Glucose Level: 149.36 mg/dL
Time: 986.99 min, Glucose Level: 149.357 mg/dL
Time: 987.99 min, Glucose Level: 149.354 mg/dL
Time: 988.99 min, Glucose Level: 149.352 mg/dL
Time: 989.99 min, Glucose Level: 149.349 mg/dL
Time: 990.99 min, Glucose Level: 149.346 mg/dL
Time: 991.99 min, Glucose Level: 149.343 mg/dL
Time: 992.99 min, Glucose Level: 149.341 mg/dL
Time: 993.99 min, Glucose Level: 149.338 mg/dL
Time: 994.99 min, Glucose Level: 149.335 mg/dL
Time: 995.99 min, Glucose Level: 149.332 mg/dL
